Feature,Importance
alcohol,0.19997588965691634
sulphates,0.1424368785406772
volatile acidity,0.11218401448530567
total sulfur dioxide,0.09919715729783282
density,0.09147972082249205
fixed acidity,0.06947093399797265
chlorides,0.0674342042025096
pH,0.0584484236837958
citric acid,0.05733010436897013
free sulfur dioxide,0.051074249460680045
residual sugar,0.05096842348284784
