Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.740625,0.7682926829268293,0.7368421052631579,0.7522388059701492
SVM,0.7625,0.8145695364238411,0.7192982456140351,0.7639751552795031
Random Forest,0.796875,0.8192771084337349,0.7953216374269005,0.8071216617210683
